ID,TYPE,CATEGORY,PHYSICAL_RES,ENERGY_RES,RADIATION_RES,LOCATIONS_COVERED,WEIGHT,COST,RARITY,AVAILABLE_MODS,EFFECTS
armorLeatherLeg,apparel,leatherArmor,1,2,0,"[""leg""]",1,10,1,"[""modBoiledLeather"", ""modStuddedLeather"", ""modBandedLeather"", ""modShadowedLeather"", ""modTreatedLeather"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modShockAbsorbing"", ""modMuffled""]",
armorLeatherArm,apparel,leatherArmor,1,2,0,"[""arm""]",1,8,1,"[""modBoiledLeather"", ""modStuddedLeather"", ""modBandedLeather"", ""modShadowedLeather"", ""modTreatedLeather"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modStreamlined"", ""modBalanced"", ""modCrafted"", ""modBrawling"", ""modStabilized""]",
armorLeatherSturdyChest,apparel,leatherArmor,2,3,0,"[""torso""]",5,50,2,"[""modBoiledLeather"", ""modStuddedLeather"", ""modBandedLeather"", ""modShadowedLeather"", ""modTreatedLeather"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modDensity"", ""modBioCommMesh"", ""modCushioned"", ""modPneumatic"", ""modAsbestosLining""]",
armorLeatherSturdyLeg,apparel,leatherArmor,2,3,0,"[""leg""]",2.5,20,2,"[""modBoiledLeather"", ""modStuddedLeather"", ""modBandedLeather"", ""modShadowedLeather"", ""modTreatedLeather"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modShockAbsorbing"", ""modMuffled""]",
armorLeatherSturdyArm,apparel,leatherArmor,2,3,0,"[""arm""]",2.5,18,2,"[""modBoiledLeather"", ""modStuddedLeather"", ""modBandedLeather"", ""modShadowedLeather"", ""modTreatedLeather"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modStreamlined"", ""modBalanced"", ""modCrafted"", ""modBrawling"", ""modStabilized""]",
armorLeatherHeavyChest,apparel,leatherArmor,3,4,0,"[""torso""]",7.5,75,3,"[""modBoiledLeather"", ""modStuddedLeather"", ""modBandedLeather"", ""modShadowedLeather"", ""modTreatedLeather"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modDensity"", ""modBioCommMesh"", ""modCushioned"", ""modPneumatic"", ""modAsbestosLining""]",
armorLeatherHeavyLeg,apparel,leatherArmor,3,4,0,"[""leg""]",3.5,30,3,"[""modBoiledLeather"", ""modStuddedLeather"", ""modBandedLeather"", ""modShadowedLeather"", ""modTreatedLeather"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modShockAbsorbing"", ""modMuffled""]",
armorLeatherHeavyArm,apparel,leatherArmor,3,4,0,"[""arm""]",3.5,28,3,"[""modBoiledLeather"", ""modStuddedLeather"", ""modBandedLeather"", ""modShadowedLeather"", ""modTreatedLeather"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modStreamlined"", ""modBalanced"", ""modCrafted"", ""modBrawling"", ""modStabilized""]",
armorMetalHelmet,apparel,metalArmor,2,1,0,"[""head""]",1.5,15,1,"[""modAlloyedMetal"", ""modPolishedMetal"", ""modShadowedMetal"", ""modEnamelledMetal"", ""modPaintedMetal""]",
armorMetalChest,apparel,metalArmor,2,1,0,"[""torso""]",3,40,1,"[""modAlloyedMetal"", ""modPolishedMetal"", ""modShadowedMetal"", ""modEnamelledMetal"", ""modPaintedMetal"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modDensity"", ""modBioCommMesh"", ""modCushioned"", ""modPneumatic"", ""modAsbestosLining""]",
armorMetalLeg,apparel,metalArmor,2,1,0,"[""leg""]",1.5,15,1,"[""modAlloyedMetal"", ""modPolishedMetal"", ""modShadowedMetal"", ""modEnamelledMetal"", ""modPaintedMetal"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modShockAbsorbing"", ""modMuffled""]",
armorMetalArm,apparel,metalArmor,2,1,0,"[""arm""]",1.5,15,1,"[""modAlloyedMetal"", ""modPolishedMetal"", ""modShadowedMetal"", ""modEnamelledMetal"", ""modPaintedMetal"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modStreamlined"", ""modBalanced"", ""modCrafted"", ""modBrawling"", ""modStabilized""]",
armorMetalSturdyHelmet,apparel,metalArmor,3,2,0,"[""head""]",4,65,2,"[""modAlloyedMetal"", ""modPolishedMetal"", ""modShadowedMetal"", ""modEnamelledMetal"", ""modPaintedMetal""]",
armorMetalSturdyChest,apparel,metalArmor,3,2,0,"[""torso""]",8,115,2,"[""modAlloyedMetal"", ""modPolishedMetal"", ""modShadowedMetal"", ""modEnamelledMetal"", ""modPaintedMetal"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modDensity"", ""modBioCommMesh"", ""modCushioned"", ""modPneumatic"", ""modAsbestosLining""]",
armorMetalSturdyLeg,apparel,metalArmor,3,2,0,"[""leg""]",4,65,2,"[""modAlloyedMetal"", ""modPolishedMetal"", ""modShadowedMetal"", ""modEnamelledMetal"", ""modPaintedMetal"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modShockAbsorbing"", ""modMuffled""]",
armorMetalSturdyArm,apparel,metalArmor,3,2,0,"[""arm""]",4,65,2,"[""modAlloyedMetal"", ""modPolishedMetal"", ""modShadowedMetal"", ""modEnamelledMetal"", ""modPaintedMetal"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modStreamlined"", ""modBalanced"", ""modCrafted"", ""modBrawling"", ""modStabilized""]",
armorMetalHeavyHelmet,apparel,metalArmor,4,3,0,"[""head""]",6,115,3,"[""modAlloyedMetal"", ""modPolishedMetal"", ""modShadowedMetal"", ""modEnamelledMetal"", ""modPaintedMetal""]",
armorMetalHeavyChest,apparel,metalArmor,4,3,0,"[""torso""]",11.5,190,3,"[""modAlloyedMetal"", ""modPolishedMetal"", ""modShadowedMetal"", ""modEnamelledMetal"", ""modPaintedMetal"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modDensity"", ""modBioCommMesh"", ""modCushioned"", ""modPneumatic"", ""modAsbestosLining""]",
armorMetalHeavyLeg,apparel,metalArmor,4,3,0,"[""leg""]",6,115,3,"[""modAlloyedMetal"", ""modPolishedMetal"", ""modShadowedMetal"", ""modEnamelledMetal"", ""modPaintedMetal"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modShockAbsorbing"", ""modMuffled""]",
armorMetalHeavyArm,apparel,metalArmor,4,3,0,"[""arm""]",6,115,3,"[""modAlloyedMetal"", ""modPolishedMetal"", ""modShadowedMetal"", ""modEnamelledMetal"", ""modPaintedMetal"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modStreamlined"", ""modBalanced"", ""modCrafted"", ""modBrawling"", ""modStabilized""]",
armorCombatHelmet,apparel,combatArmor,2,2,0,"[""head""]",2,25,2,"[""modFiberglass"", ""modShadowed"", ""modPolymer"", ""modReinforced""]",
armorCombatChest,apparel,combatArmor,2,2,0,"[""torso""]",4,60,2,"[""modFiberglass"", ""modShadowed"", ""modPolymer"", ""modReinforced"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modDensity"", ""modBioCommMesh"", ""modCushioned"", ""modPneumatic"", ""modAsbestosLining""]",
armorCombatLeg,apparel,combatArmor,2,2,0,"[""leg""]",1,25,2,"[""modFiberglass"", ""modShadowed"", ""modPolymer"", ""modReinforced"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modShockAbsorbing"", ""modMuffled""]",
armorCombatArm,apparel,combatArmor,2,2,0,"[""arm""]",1,25,2,"[""modFiberglass"", ""modShadowed"", ""modPolymer"", ""modReinforced"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modStreamlined"", ""modBalanced"", ""modCrafted"", ""modBrawling"", ""modStabilized""]",
armorCombatSturdyHelmet,apparel,combatArmor,3,3,0,"[""head""]",2.5,105,3,"[""modFiberglass"", ""modShadowed"", ""modPolymer"", ""modReinforced""]",
armorCombatSturdyChest,apparel,combatArmor,3,3,0,"[""torso""]",6,140,3,"[""modFiberglass"", ""modShadowed"", ""modPolymer"", ""modReinforced"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modDensity"", ""modBioCommMesh"", ""modCushioned"", ""modPneumatic"", ""modAsbestosLining""]",
armorCombatSturdyLeg,apparel,combatArmor,3,3,0,"[""leg""]",2.5,105,3,"[""modFiberglass"", ""modShadowed"", ""modPolymer"", ""modReinforced"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modShockAbsorbing"", ""modMuffled""]",
armorCombatSturdyArm,apparel,combatArmor,3,3,0,"[""arm""]",2.5,105,3,"[""modFiberglass"", ""modShadowed"", ""modPolymer"", ""modReinforced"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modStreamlined"", ""modBalanced"", ""modCrafted"", ""modBrawling"", ""modStabilized""]",
armorCombatHeavyHelmet,apparel,combatArmor,4,4,0,"[""head""]",3.5,185,4,"[""modFiberglass"", ""modShadowed"", ""modPolymer"", ""modReinforced""]",
armorCombatHeavyChest,apparel,combatArmor,4,4,0,"[""torso""]",8,220,4,"[""modFiberglass"", ""modShadowed"", ""modPolymer"", ""modReinforced"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modDensity"", ""modBioCommMesh"", ""modCushioned"", ""modPneumatic"", ""modAsbestosLining""]",
armorCombatHeavyLeg,apparel,combatArmor,4,4,0,"[""leg""]",3.5,185,4,"[""modFiberglass"", ""modShadowed"", ""modPolymer"", ""modReinforced"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modShockAbsorbing"", ""modMuffled""]",
armorCombatHeavyArm,apparel,combatArmor,4,4,0,"[""arm""]",3.5,145,4,"[""modFiberglass"", ""modShadowed"", ""modPolymer"", ""modReinforced"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modStreamlined"", ""modBalanced"", ""modCrafted"", ""modBrawling"", ""modStabilized""]",
armorSyntheticHelmet,apparel,syntheticArmor,2,3,0,"[""head""]",1.5,33,3,"[""modLaminated"", ""modMicrocarbon"", ""modNanofilament"", ""modResin""]",
armorSyntheticChest,apparel,syntheticArmor,2,3,0,"[""torso""]",3.5,75,3,"[""modLaminated"", ""modMicrocarbon"", ""modNanofilament"", ""modResin"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modDensity"", ""modBioCommMesh"", ""modCushioned"", ""modPneumatic"", ""modAsbestosLining""]",
armorSyntheticLeg,apparel,syntheticArmor,2,3,0,"[""leg""]",1.5,30,3,"[""modLaminated"", ""modMicrocarbon"", ""modNanofilament"", ""modResin"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modShockAbsorbing"", ""modMuffled""]",
armorSyntheticArm,apparel,syntheticArmor,2,3,0,"[""arm""]",1.5,30,4,"[""modLaminated"", ""modMicrocarbon"", ""modNanofilament"", ""modResin"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modStreamlined"", ""modBalanced"", ""modCrafted"", ""modBrawling"", ""modStabilized""]",
armorSyntheticSturdyHelmet,apparel,syntheticArmor,3,4,0,"[""head""]",3.5,70,4,"[""modLaminated"", ""modMicrocarbon"", ""modNanofilament"", ""modResin""]",
armorSyntheticSturdyChest,apparel,syntheticArmor,3,4,0,"[""torso""]",6,125,4,"[""modLaminated"", ""modMicrocarbon"", ""modNanofilament"", ""modResin"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modDensity"", ""modBioCommMesh"", ""modCushioned"", ""modPneumatic"", ""modAsbestosLining""]",
armorSyntheticSturdyLeg,apparel,syntheticArmor,3,4,0,"[""leg""]",3.5,80,4,"[""modLaminated"", ""modMicrocarbon"", ""modNanofilament"", ""modResin"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modShockAbsorbing"", ""modMuffled""]",
armorSyntheticSturdyArm,apparel,syntheticArmor,3,4,0,"[""arm""]",3.5,70,4,"[""modLaminated"", ""modMicrocarbon"", ""modNanofilament"", ""modResin"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modStreamlined"", ""modBalanced"", ""modCrafted"", ""modBrawling"", ""modStabilized""]",
armorSyntheticHeavyHelmet,apparel,syntheticArmor,4,5,0,"[""head""]",5,110,5,"[""modLaminated"", ""modMicrocarbon"", ""modNanofilament"", ""modResin""]",
armorSyntheticHeavyChest,apparel,syntheticArmor,4,5,0,"[""torso""]",8.5,175,5,"[""modLaminated"", ""modMicrocarbon"", ""modNanofilament"", ""modResin"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modDensity"", ""modBioCommMesh"", ""modCushioned"", ""modPneumatic"", ""modAsbestosLining""]",
armorSyntheticHeavyLeg,apparel,syntheticArmor,4,5,0,"[""leg""]",5,130,5,"[""modLaminated"", ""modMicrocarbon"", ""modNanofilament"", ""modResin"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modShockAbsorbing"", ""modMuffled""]",
armorSyntheticHeavyArm,apparel,syntheticArmor,4,5,0,"[""arm""]",5,110,5,"[""modLaminated"", ""modMicrocarbon"", ""modNanofilament"", ""modResin"", ""modLightweight"", ""modPocketed"", ""modDeepPocketed"", ""modLeaded"", ""modUltralight"", ""modStreamlined"", ""modBalanced"", ""modCrafted"", ""modBrawling"", ""modStabilized""]",
armorVaultTecSecurityHelmet,apparel,vaultTecSecurity,2,0,0,"[""head""]",1,20,1,[],
armorVaultTecSecurityArmor,apparel,vaultTecSecurity,2,0,2,"[""arms"", ""legs"", ""torso""]",4,16,1,[],
