ID,TYPE,CATEGORY,DAMAGE_RATING,EFFECTS,DAMAGE_TYPE,FIRE_RATE,RANGE,QUALITIES,WEIGHT,COST,RARITY,AMMO_TYPE,AVAILABLE_MODS
weaponTenMillimeterPistol,weapon,smallGuns,4,[],physical,2,rangeC,"[""qualityReliable"", ""qualityCloseQuarters""]",2,50,1,ammo10mm,"[""modCompensator"", ""modSuppressor"", ""modPortedBarrel"", ""modLongBarrel"", ""modLargeMagazine"", ""modLargeQuickMagazine"", ""modQuickMagazine"", ""modAutomatic"", ""modAdvanced"", ""modCalibrated"", ""modHairTrigger"", ""modPowerful"", ""modWeaponHardened"", ""modErgonomicGrip"", ""modMarksmanGrip"", ""modReconScope"", ""modReflexSight""]"
weaponHandmadePistol,weapon,smallGuns,3,[],physical,2,rangeC,"[""qualityCloseQuarters"", ""qualityUnreliable""]",1,30,0,ammo38,"[""modBayonet"", ""modCompensator"", ""modFlashHider"", ""modSuppressor"", ""modFullStock"", ""modMarksmanStock"", ""modRecoilCompensatingStock"", ""modFinnedBarrel"", ""modPortedBarrel"", ""modLongBarrel"", ""modLargeMagazine"", ""modLargeQuickMagazine"", ""modQuickMagazine"", ""modAutomatic"", ""modCalibrated"", ""modReceiver45"", ""modHairTrigger"", ""modWeaponHardened"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight""]"
weaponFlareGun,weapon,smallGuns,3,[],physical,0,rangeM,"[""qualityReliable""]",1,50,1,ammoMissile,[]
weaponHandmadeRevolver,weapon,smallGuns,4,[],physical,1,rangeC,"[""qualityCloseQuarters"", ""qualityUnreliable""]",2,25,0,ammo45,"[""modBayonet"", ""modCompensator"", ""modFlashHider"", ""modSuppressor"", ""modFullStock"", ""modMarksmanStock"", ""modRecoilCompensatingStock"", ""modFinnedBarrel"", ""modPortedBarrel"", ""modLongBarrel"", ""modCalibrated"", ""modReceiver38"", ""modReceiver308"", ""modPowerful"", ""modWeaponHardened"", ""modMarksmanGrip"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight""]"
weaponSyringer,weapon,smallGuns,3,[],physical,0,rangeM,"[""qualityTwoHanded""]",3,132,2,ammoSyringer,"[""modMarksmanStock"", ""modRecoilCompensatingStock"", ""modLongBarrel"", ""modShortScope"", ""modShortNightVisionScope"", ""modReconScope"", ""modLongScope"", ""modLongNightVisionScope"", ""modReflexSight""]"
weaponMrHandyAutomaticPistol,weapon,smallGuns,4,"[""effectBurst""]",physical,3,rangeC,"[""qualityReliable"", ""qualityCloseQuarters"", ""qualityMrHandyOnly""]",0,50,1,ammo10mm,[]
weapon357Revolver,weapon,smallGuns,5,"[""effectVicious""]",physical,1,rangeC,"[""qualityCloseQuarters"",""qualityReliable""]",1.0,110,2,ammo357Magnum,"[""modHairTrigger"",""modLongBarrel"",""modLargeMagazine""]"
weapon127mmPistol,weapon,smallGuns,6,"[]",physical,1,rangeC,"[""qualityCloseQuarters"",""qualityRecoil:7""]",2.0,400,4,ammo127mm,"[""modCalibrated"",""modHardened"",""modHairTrigger"",""modPowerful"",""modAdvanced"",""modArmorPiercing"",""modCalibratedPowerful"",""modLongBarrel"",""modPortedBarrel"",""modComfortGrip"",""modSharpshooterGrip"",""modLargeMagazine"",""modQuickEjectMagazine"",""modReflexSight"",""modSuppressor""]"
weapon127mmSmg,weapon,smallGuns,5,"[""effectBurst""]",physical,3,rangeC,"[""qualityInaccurate"",""qualityRecoil:7"",""qualityTwoHanded""]",2.5,510,4,ammo127mm,"[""modHardened"",""modPowerful"",""modArmorPiercing"",""modFullStock"",""modRecoilCompensatingStock"",""modLargeMagazine"",""modReflexSight"",""modSuppressor""]"
weapon25mmGrenadeApw,weapon,smallGuns,4,"[]",physical,1,rangeL,"[""qualityBlast"",""qualityTwoHanded""]",4.0,420,4,ammo25mmGrenade,"[""modHairTrigger"",""modLongBarrel"",""modLargeMagazine""]"
weapon9mmPistol,weapon,smallGuns,3,"[]",physical,2,rangeC,"[""qualityCloseQuarters"",""qualityConcealed"",""qualityReliable""]",1.0,50,2,ammo9mm,"[]"
weaponAntiMaterielRifle,weapon,smallGuns,8,"[""effectVicious""]",physical,0,rangeL,"[""qualityReliable"",""qualityTwoHanded"",""qualityRecoil:8""]",10.0,560,4,ammo50Ball,"[""modHardened"",""modPowerful"",""modHairTrigger"",""modLongBarrel"",""modReflexSight"",""modShortScope"",""modBayonet""]"
weaponBattleRifle,weapon,smallGuns,7,"[""effectPiercing:1""]",physical,1,rangeM,"[""qualityReliable"",""qualityTwoHanded""]",5.0,150,3,ammo308,"[]"
weaponBlackPowderBlunderbuss,weapon,smallGuns,7,"[""effectVicious""]",physical,0,rangeC,"[""qualityCloseQuarters"",""qualityInaccurate"",""qualityRecoil:7"",""qualitySlowLoad""]",1.5,90,3,ammo50Ball,"[]"
weaponBlackPowderPistol,weapon,smallGuns,7,"[""effectVicious""]",physical,0,rangeC,"[""qualityRecoil:7"",""qualitySlowLoad""]",1.5,60,3,ammo50Ball,"[""modHardened"",""modPowerful"",""modHairTrigger"",""modLargeMagazine"",""modShortScope"",""modLongScope"",""modShortNightVisionScope"",""modLongNightVisionScope"",""modReconScope"",""modSuppressor""]"
weaponBlackPowderRifle,weapon,smallGuns,8,"[""effectVicious""]",physical,0,rangeM,"[""qualityRecoil:7"",""qualitySlowLoad""]",3.0,60,3,ammo50Ball,"[""modBayonet""]"
weaponGaussPistol,weapon,smallGuns,8,"[""effectPiercing:1""]",physical,1,rangeM,"[]",3.0,334,5,ammo2mmec,"[""modShieldedBarrel"",""modFullCapacitors"",""modCapacitorBoostingCoil"",""modReflexSight""]"
weaponGaussShotgun,weapon,smallGuns,7,"[""effectPiercing:1"",""effectSpread""]",physical,0,rangeC,"[""qualityAmmoHungry:10"",""qualityTwoHanded""]",7.0,400,5,ammo2mmec,"[""modShieldedBarrel"",""modFullCapacitors"",""modCapacitorBoostingCoil""]"
weaponLeverActionRifle,weapon,smallGuns,7,"[""effectPiercing:1""]",physical,0,rangeM,"[""qualityTwoHanded""]",4.5,201,3,ammo308,"[""modCalibrated"",""modHardened"",""modPowerful"",""modAdvanced"",""modCalibratedPowerful"",""modReceiver357"",""modLongBarrel"",""modPortedBarrel"",""modFullStock"",""modMarksmanStock"",""modReflexSight"",""modShortScope"",""modLongScope"",""modShortNightVisionScope"",""modLongNightVisionScope"",""modSuppressor""]"
weaponLightMachineGun,weapon,smallGuns,5,"[""effectBurst""]",physical,4,rangeM,"[""qualityInaccurate"",""qualityRecoil:8"",""qualityTwoHanded""]",7.5,150,3,ammo556mm,"[""modCalibrated"",""modHardened"",""modPowerful"",""modReceiver308"",""modCalibratedPowerful"",""modLongBarrel"",""modPortedBarrel"",""modVentedBarrel"",""modLargeMagazine"",""modQuickEjectMagazine"",""modLargeQuickEjectMagazine"",""modFullStock"",""modRecoilCompensatingStock"",""modReflexSight"",""modCompensator"",""modMuzzleBreak""]"
weaponPumpActionShotgun,weapon,smallGuns,5,"[""effectSpread""]",physical,1,rangeC,"[""qualityInaccurate"",""qualityTwoHanded""]",5.5,70,1,ammoShotgunShell,"[""modCalibrated"",""modHairTrigger"",""modHardened"",""modPowerful"",""modAdvanced"",""modCalibratedPowerful"",""modLongBarrel"",""modPortedBarrel"",""modFullStock"",""modRecoilCompensatingStock"",""modReflexSight"",""modBayonet"",""modCompensator"",""modMuzzleBreak"",""modSuppressor""]"
weaponRadiumRifle,weapon,smallGuns,4,"[""effectRadioactive""]",physical,3,rangeM,"[""qualityTwoHanded""]",5.5,110,3,ammo45,"[""modCalibrated"",""modHardened"",""modAutomatic"",""modHairTrigger"",""modPowerful"",""modHardenedAutomatic"",""modRapidAutomatic"",""modCalibratedPowerful"",""modLongBarrel"",""modPortedBarrel"",""modFullStock"",""modMarksmanStock"",""modRecoilCompensatingStock"",""modLargeMagazine"",""modQuickEjectMagazine"",""modLargeQuickEjectMagazine"",""modReflexSight"",""modShortScope"",""modLongScope"",""modShortNightVisionScope"",""modLongNightVisionScope"",""modCompensator"",""modMuzzleBreak"",""modSuppressor""]"
weaponSniperRifle,weapon,smallGuns,7,"[""effectPiercing:1""]",physical,0,rangeL,"[""qualityAccurate"",""qualityTwoHanded""]",5.0,300,4,ammo308,"[""modCalibrated"",""modHardened"",""modPowerful"",""modCalibratedPowerful"",""modLongScope"",""modShortNightVisionScope"",""modLongNightVisionScope"",""modSuppressor""]"
weaponAlienAtomizer,weapon,energyWeapon,6,"[""effectVicious""]",energy,3,rangeC,"[""qualityCloseQuarters"",""qualityReliable""]",1.5,1536,5,ammoAlienPowerCell,"[]"
weaponAlienDisintegrator,weapon,energyWeapon,8,"[""effectVicious""]",energy,2,rangeM,"[""qualityTwoHanded"",""qualityReliable""]",3.5,921,5,ammoAlienPowerCell,"[]"
weaponArcWelder,weapon,energyWeapon,3,"[""effectStun""]",energy,4,rangeC,"[""qualitySurge"",""qualityTwoHanded""]",7.5,370,4,ammoElectronChargePack,"[]"
weaponAssaultronHead,weapon,energyWeapon,5,"[""effectPiercing:1""]",energy,0,rangeC,"[]",4.0,500,3,ammoFusionCell,"[""modCapacitorMk3"",""modCapacitorMk4"",""modCapacitorMk5"",""modCapacitorMk6""]"
weaponMicrowaveEmitter,weapon,energyWeapon,6,"[""effectPersistent"",""effectPiercing:3""]",energy,1,rangeM,"[""qualityTwoHanded""]",4.0,500,5,ammoFusionCell,"[]"
weaponTeslaRifle,weapon,energyWeapon,5,"[""effectArc""]",energy,2,rangeM,"[""qualityTwoHanded""]",4.0,180,4,ammoFusionCell,"[""modAutomaticBarrel"",""modSplitterBarrel"",""modImprovedBarrel"",""modAmplifiedBeamSplitter"",""modFineTunedBeamFocuser"",""modQuantumGyroCompensatingLens"",""modReflexSight""]"
